ASW0000o6h,SDSSJ085231.90-013607.2,1237673709329318736,133.13293,-1.60201,,,,,,,http://mite.physik.uzh.ch/data/011485
ASW0000nry,SDSSJ085239.39-010242.5,1237673709866320810,133.1642,-1.04516,,,,,,,http://mite.physik.uzh.ch/data/012495
ASW0000o2y,SDSSJ085307.33-011537.9,1237674460948726902,133.281,-1.26055,0.576,,,ASW0000pkk,,,http://mite.physik.uzh.ch/data/011509
ASW0000x1l,SDSSJ085327.71-023744.9,1237655175470252477,133.36547,-2.62916,,,,,,,http://mite.physik.uzh.ch/data/006673
ASW0009b7e,SDSSJ085848.95-023925.7,1237655175470841947,134.70399,-2.65715,,,,,,,http://mite.physik.uzh.ch/data/011348
ASW000090m,SDSSJ090036.18-014452.6,1237654871601512818,135.15077,-1.74795,,,,,,,
ASW000087a,SDSSJ090233.72-012504.0,1237654872138580440,135.641,-1.41779,,,,,,,
ASW0005w3f,SDSSJ090717.61-010525.0,1237650794605314466,136.8234,-1.09028,,,,ASW0005w3c,,,http://mite.physik.uzh.ch/data/006685
ASW0006e0o,SDSSJ135724.86+561614.3,1237661388677251308,209.354,56.2706,0.360,,,,,,http://mite.physik.uzh.ch/data/013056
ASW0005mp6,SDSSJ135755.77+571723.2,1237659145094628025,209.482,57.2898,,,,,,,
ASW0009bmg,SDSSJ135846.99+545912.9,1237661417674768705,209.69581,54.98694,,,,,,,http://mite.physik.uzh.ch/data/011709
ASW0005yha,SDSSJ135928.42+532625.5,1237658803118080446,209.86843,53.44043,,,,,,,
ASW0006chc,SDSSJ135932.39+522112.3,1237658802044535192,209.885,52.3534,,,,,,,
ASW0006a07,SDSSJ140048.66+541102.7,1237661386530292302,210.20278,54.18409,,,,,,,http://mite.physik.uzh.ch/data/006437
ASW0005mdw,SDSSJ140110.44+565420.4,1237659324942713119,210.294,56.9057,0.493,,,ASW0006241,ASW00062bc,,
ASW0005ktw,SDSSJ140156.38+554446.8,1237661418748576175,210.48495,55.74634,0.465,,,,,,
ASW00060u8,SDSSJ140201.18+573428.0 ,1237659145631695218,210.50493 ,57.57447,,sim?,,,,,http://mite.physik.uzh.ch/data/012370
ASW00061d2,SDSSJ140211.85+573335.9,1237659145631695506,210.54938,57.55999,,,,,,,http://mite.physik.uzh.ch/data/007653
ASW00061gx,SDSSJ140321.90+570657.2,1237659325479649811,210.84128,57.1159,,,,,,,http://mite.physik.uzh.ch/data/008389
ASW0005ks6,SDSSJ140341.82+550337.9,1237661387604099463,210.924,55.0605,,GZ 28/11/2012p.455,"~5.5""",,,,
ASW000619d,SDSSJ140522.20+574332.9,1237659146168697361,211.343,57.7258,,,,,,,http://mite.physik.uzh.ch/data/011421
ASW0006gwi,SDSSJ140605.84+561649.7,1237659144558412150,211.52435,56.28048,,,,,,,http://mite.physik.uzh.ch/data/009958
ASW0005o38,SDSSJ140845.74+514914.0,1237659119858942297,212.191,51.8206,,,,,,,
ASW0005o38,SDSSJ140845.74+514914.0,1237659119858942297,212.19061,51.82057,,,,,,,http://mite.physik.uzh.ch/data/012556
ASW0006hn5,SDSSJ140848.64+521434.4,1237658802581995864,212.20269,52.2429,,,,,,,
ASW00076ez,SDSSJ141024.48+554239.4,1237659144021868902,212.60201,55.71096,,,,,,,http://mite.physik.uzh.ch/data/008458
ASW0005udz,SDSSJ141120.52+521209.8,1237659120395878582,212.836,52.2027,0.462,3C295,,,,,
ASW0006i3r,SDSSJ141410.19+525049.0,1237661416065401283,213.54248,52.84695,,,,,,,http://mite.physik.uzh.ch/data/008099
ASW000791m,SDSSJ141411.65+544444.8,1237661388141625824,213.54855,54.74579,,,,,,,
ASW0006ngt,SDSSJ141752.04+563318.1,1237659145632743503,214.467,56.5551,0.122,radio FIRSTJ141752.0+563318,,,,,
ASW0007uda,SDSSJ142138.46+553200.6,1237659324944089208,215.41021,55.53344,0.175,,,,,,http://mite.physik.uzh.ch/data/008876
ASW0006wpc,SDSSJ142209.25+524652.1,1237661416602730611,215.53857,52.78116,,,,ASW0006wdu,,,http://mite.physik.uzh.ch/data/007603
ASW0007smi,SDSSJ142643.42+563833.7,1237659326554767818,216.68092,56.6427,,,,,,,http://mite.physik.uzh.ch/data/011041
ASW0007t5y,SDSSJ142652.78+560001.3,587733424408428946,216.7199424,56.00038717,,,,,,,http://mite.physik.uzh.ch/data/008886
ASW0009cjs,SDSSJ142934.21+562541.0,1237659326554964414,217.39254,56.42808,0.514,,,,,,http://mite.physik.uzh.ch/data/011763
ASW0007wfj,SDSSJ143055.96+572431.7,1237655463776158102,217.73319,57.40883,,,,ASW0007xrs,,,http://mite.physik.uzh.ch/data/008758
ASW0007k4r,SDSSJ143454.47+522850.9,1237661387069522357,218.727,52.48081,,,,,,,http://mite.physik.uzh.ch/data/012771
ASW0007erm,SDSSJ143549.77+513720.5,1237661416603779781,218.95739,51.62239,,,,,,,
ASW0008swn,SDSSJ143628.00+563833.3,1237655368759050812,219.11667,56.64261,,,,,,,http://mite.physik.uzh.ch/data/012373
ASW0007h27,SDSSJ143651.59+530706.0,1237661388143198984,219.21498,53.11834,,,,ASW0007iwp,,,http://mite.physik.uzh.ch/data/008897
ASW0007e2w,SDSSJ220128.68+020344.0,1237678619015512705,330.37,2.06222,,,,,,,
ASW0007e08,SDSSJ220256.82+023433.9 ,1237678619552514623,330.73567,2.57764,0.482,,,,,,http://mite.physik.uzh.ch/data/007959
ASW0008cas,SDSSJ220346.51+042644.6,1237678777928581890,330.94383,4.44573,0.527,,,,,,http://mite.physik.uzh.ch/data/011213
ASW0002smy,SDSSJ220624.36+013541.0,1237678596467458642,331.602,1.59473,,,,,,,
ASW0002sej,SDSSJ220631.16+014054.0,1237678618479166354,331.62986,1.68167,,,,,,,
ASW0002xdi,SDSSJ220643.97+021339.4,1237678619016036806,331.68325,2.22761,,,,,,,http://mite.physik.uzh.ch/data/012390
ASW0001ykg,SDSSJ220916.91+043011.4,1237678777929171711,332.32047,4.50318,,,,,,,http://mite.physik.uzh.ch/data/012378
ASW0001k4i,SDSSJ221038.59+025337.4,1237678598078530186,332.66081,2.89372,,,,,,,http://mite.physik.uzh.ch/data/011675
ASW000902h,SDSSJ221120.23+004331.3,1237663544220975519,332.834,0.725369,,,,,,,
ASW0008ju3,SDSSJ221144.25-005147.1,1237656906343252517,332.93438,-0.86311,,,,,,,http://mite.physik.uzh.ch/data/008760
ASW0008xw6,SDSSJ221513.35+010240.3,1237678617406342223,333.80566,1.04455,,,,ASW0008dxh,,,
ASW00096rm,SDSSJ221716.58+015826.5,1237678597005509292,334.31911,1.97404,,,,,,,http://mite.physik.uzh.ch/data/011717
ASW00094fq,SDSSJ222007.35-002504.0,1237663478722658910,335.03067,-0.41779,,,,,,,http://mite.physik.uzh.ch/data/012728
ASW0003wsu,SDSSJ022406.13-062846.5,1237679340032360484,36.02599,-6.48063 ,,,,,,,http://mite.physik.uzh.ch/data/012712
